frame,track_id,label,x,y,width,height
15,1,pedestrian,518,398,51,33
16,1,pedestrian,514,389,56,43
17,1,pedestrian,515,379,56,53
18,1,pedestrian,518,373,53,59
19,1,pedestrian,520,364,52,68
20,1,pedestrian,522,356,52,76
21,1,pedestrian,524,347,51,85
22,1,pedestrian,523,338,54,94
23,1,pedestrian,523,331,55,101
24,1,pedestrian,520,324,59,108
25,1,pedestrian,519,318,60,113
26,1,pedestrian,522,310,57,122
27,1,pedestrian,527,302,53,101
28,1,pedestrian,532,294,49,96
29,1,pedestrian,535,290,47,100
30,1,pedestrian,535,285,48,104
31,1,pedestrian,535,279,50,107
32,1,pedestrian,538,273,50,103
33,1,pedestrian,542,266,48,91
34,1,pedestrian,545,259,48,98
35,1,pedestrian,544,256,50,100
36,1,pedestrian,543,252,52,103
37,1,pedestrian,543,245,54,105
38,1,pedestrian,550,240,49,101
39,1,pedestrian,556,235,46,92
40,1,pedestrian,558,231,47,89
41,1,pedestrian,557,227,51,94
42,1,pedestrian,557,223,55,97
43,1,pedestrian,561,219,55,96
44,1,pedestrian,567,215,53,87
45,1,pedestrian,578,210,47,87
46,1,pedestrian,585,206,45,92
47,1,pedestrian,585,203,50,94
48,1,pedestrian,586,200,54,97
49,1,pedestrian,591,196,52,99
50,1,pedestrian,600,192,44,94
51,1,pedestrian,607,186,42,92
52,1,pedestrian,607,183,47,87
53,1,pedestrian,605,180,52,90
54,1,pedestrian,606,179,55,91
55,1,pedestrian,610,176,57,92
56,1,pedestrian,621,173,51,83
57,1,pedestrian,632,167,45,88
58,1,pedestrian,639,165,45,90
59,1,pedestrian,640,163,49,92
60,1,pedestrian,640,162,54,93
61,1,pedestrian,647,158,50,96
62,1,pedestrian,658,156,40,88
63,1,pedestrian,663,152,40,87
64,1,pedestrian,663,149,44,84
65,1,pedestrian,662,146,49,87
66,1,pedestrian,663,145,52,87
67,1,pedestrian,668,143,56,86
68,1,pedestrian,676,140,50,82
69,1,pedestrian,688,137,44,83
70,1,pedestrian,693,134,43,87
71,1,pedestrian,694,134,50,88
72,1,pedestrian,695,132,55,89
73,1,pedestrian,701,131,49,88
74,1,pedestrian,708,105,59,106
75,1,pedestrian,707,105,60,102
76,1,pedestrian,707,106,56,97
76,2,pedestrian,708,127,49,75
77,1,pedestrian,708,103,59,100
78,1,pedestrian,708,104,59,98
79,1,pedestrian,718,104,49,93
80,1,pedestrian,713,104,54,90
80,2,pedestrian,729,104,38,90
81,1,pedestrian,737,103,30,90
82,1,pedestrian,741,106,26,87
83,1,pedestrian,742,108,25,85
84,1,pedestrian,742,107,25,85
172,3,pedestrian,79,364,185,65
173,3,pedestrian,87,352,181,77
175,3,pedestrian,90,329,183,102
199,4,car,102,138,149,186
200,4,car,95,133,154,185
201,4,car,89,130,156,180
202,4,car,82,126,160,178
203,4,car,74,123,165,173
204,4,car,67,120,167,170
205,4,car,58,118,172,165
206,4,car,50,116,175,161
207,4,car,41,114,179,158
208,4,car,33,112,181,156
209,4,car,24,111,184,153
210,4,car,15,110,187,149
211,4,car,5,109,190,146
212,4,car,0,108,189,143
213,4,car,0,107,182,140
214,4,car,0,105,175,139
215,4,car,0,105,167,137
216,4,car,0,104,159,134
217,4,car,0,102,152,134
218,4,car,0,101,143,133
219,4,car,0,101,136,131
220,4,car,0,101,127,130
221,4,car,0,101,119,128
222,4,car,0,102,111,125
223,4,car,0,102,104,125
224,4,car,0,103,96,123
225,4,car,0,105,88,120
226,4,car,0,106,79,118
227,4,car,0,107,71,116
228,4,car,0,109,62,114
229,4,car,0,109,54,114
230,4,car,0,111,47,110
309,5,pedestrian,513,0,37,45
322,6,bicycle,549,26,59,57
323,5,pedestrian,555,1,56,65
323,6,bicycle,554,28,61,58
324,5,pedestrian,588,4,27,46
324,6,bicycle,560,28,62,59
325,5,pedestrian,594,6,27,46
325,6,bicycle,565,30,64,58
325,7,pedestrian,590,6,32,62
326,5,pedestrian,596,6,31,58
326,6,bicycle,569,34,66,56
327,5,pedestrian,606,7,30,61
327,6,bicycle,574,36,68,56
328,5,pedestrian,612,8,31,56
328,6,bicycle,579,39,73,56
329,5,pedestrian,617,11,30,60
329,6,bicycle,584,40,74,56
330,5,pedestrian,624,14,29,55
330,6,bicycle,591,44,76,54
331,5,pedestrian,632,15,26,58
331,6,bicycle,597,43,78,56
332,5,pedestrian,636,16,31,57
332,6,bicycle,605,48,77,52
333,5,pedestrian,645,17,28,60
333,6,bicycle,610,49,80,52
334,5,pedestrian,651,18,29,63
334,6,bicycle,618,53,79,48
335,5,pedestrian,654,20,35,61
335,6,bicycle,625,55,78,47
336,5,pedestrian,665,23,29,54
336,6,bicycle,632,54,79,50
337,5,pedestrian,658,24,45,63
337,6,bicycle,640,54,79,50
338,5,pedestrian,672,25,36,61
338,6,bicycle,647,56,79,49
339,5,pedestrian,684,27,32,55
339,6,bicycle,655,56,77,50
340,5,pedestrian,685,27,37,60
340,6,bicycle,661,59,78,47
341,5,pedestrian,696,27,33,58
